date,home_team,away_team,competition
2025-04-30,Atletico Madrid,Arsenal,UCL
2025-05-06,Arsenal,Atletico Madrid,UCL

2025-05-01,Nottingham Forest,Aston Villa,UEL
2025-05-08,Aston Villa,Nottingham Forest,UEL

2025-05-01,Shakhtar Donetsk,Crystal Palace,UEL
2025-05-08,Crystal Palace,Shakhtar Donetsk,UEL
